CC.Course_Number,CC.Section_Number,CC.TermID,CC.Expression,CC.PowerschoolID
982,31,3301,"6(B,D,F,H)",168
984,32,3302,"7(B,D,F,H)",168
1176,1,3301,2-3(C),168
264,1,3300,"6-7(A,C,E,G)",168
Senior HR,2,3300,1(A-H),168
1032,1,3300,"8-9(B,D,F,H)",169
1092,1,3301,"10-11(A,C,E,G)",169
1175,12,3302,12-13(F),169
254,3,3300,"4-5(B,D,F,H)",169
521,1,3300,"2-3(B,D,F,H)",169
729,2,3300,"12-13(A,C,E,G)",169
983,32,3302,"7(A,C,E,G)",169
340,3,3300,"8-9(A,C,E,G)",169
110,11,3300,"10-11(B,D,F,H)",169
1176,12,3301,12-13(F),169
522,1,3301,"4-5(A,C,E,G) 6(E,G)",169
523,1,3302,"4-5(A,C,E,G) 6(E,G)",169
981,32,3301,"7(A,C,E,G)",169
982,31,3301,"6(B,D,F,H)",169
984,31,3302,"6(B,D,F,H)",169
Senior HR,2,3300,1(A-H),169
928,1,3300,"14(A,C,E,G)",169
110,2,3300,"4-5(A,C,E,G)",170
742,2,3302,"6-7(B,D,F,H)",170
984,42,3302,"9(B,D,F,H)",170
540,4,3300,"12-13(B,D,F,H)",170
252,2,3300,"10-11(A,C,E,G)",170
981,42,3301,"9(A,C,E,G)",170
983,42,3302,"9(A,C,E,G)",170
1175,2,3302,2-3(D),170
1176,2,3301,2-3(D),170
340,9,3300,"10-11(B,D,F,H)",170
264,1,3300,"6-7(A,C,E,G)",170
494,1,3300,"2-3(A,C,E,G)",170
719,6,3302,"4-5(B,D,F,H)",170
727,1,3301,"4-5(B,D,F,H)",170
922,1,3301,"6-7(B,D,F,H)",170
982,42,3301,"9(B,D,F,H)",170
Senior HR,2,3300,1(A-H),170
1175,6,3302,6-7(D),175
1050,5,3301,"6-7(D,H)",175
340,4,3300,"10-11(A,C,E,G)",175
820,2,3300,"2-3(B,D,F,H)",175
865,1,3302,"6-7(A,C,E,G)",175
1176,1,3301,2-3(C),175
860,1,3301,"6-7(A,C,E,G)",175
886,1,3301,"14(A,C,E,G)",175
887,1,3302,"14(A,C,E,G)",175
895,2,3301,"14(B,D,F,H)",175
